http://192.168.0.91/app/kibana#/dev_tools/console?_g=()
GET /_cat/indices?v

health status index                 uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   snort-2017.11.01      OQGIJBjgSx-69OSSXN5auA   1   0       4694            0     10.4mb         10.4mb
green  open   netflow-v9-2017.04.05 pQQfk7LUTjC9VQnLmb05Qg   1   0      16857            0      2.7mb          2.7mb
green  open   bro-2017.12.06        POxu98lAREG-0q9C1-ThIw   5   0     155692            0     54.6mb         54.6mb
green  open   netflow-v9-2016.08.26 TSj4o1C8QFi6ZI5yI6G20Q   1   0       1288            0    177.1kb        177.1kb
green  open   packetbeat-2017.12.23 0hIgZeJdTCCW1R8hSUmwiw   5   0     312252            0     78.6mb         78.6mb
yellow open   bro-2018.07.16        dffivo33TUeP1aYxwqhFKg   5   1     133035            0     71.7mb         71.7mb
yellow open   bro-2018.06.01        7dn0kx-xR3yM4levqkgmoQ   5   1     150455            0       95mb           95mb
green  open   winlogbeat-2017.11.23 KG_eC_IuT6yfPrRk2FpjjQ   5   0        258            0    372.9kb        372.9kb
green  open   winlogbeat-2018.02.02 h2aCIxTVROGQTNJPJqYJZg   5   0        316            0    286.6kb        286.6kb
green  open   netflow-v5-2017.10.11 skDpsluGSUKTXGRi455z2g   1   0      24113            0      2.8mb          2.8mb
green  open   netflow-v9-2017.04.13 q4DccknsSt6CK9MapPXxQQ   1   0      16650            0      2.7mb          2.7mb
green  open   snort-2018.06.09      ofgxWXUmSTarKg3xXOOS4w   1   0        564            0    937.8kb        937.8kb
green  open   netflow-v9-2016.06.30 RQaFcFkVQ0-IpfH6HiItHA   1   0      12811            0      1.3mb          1.3mb
yellow open   netflow-v9-2018.06.19 g-AuGhhNT8KPdOJ3XKn2Zg   5   1      15342            0      4.1mb          4.1mb
yellow open   netflow-v9-2018.07.12 BUYxbwuWTsSGMTd7C-H7dg   5   1      21012            0      5.3mb          5.3mb
yellow open   netflow-v9-2018.07.10 hZ-9OV-LRcaOsYZkjAo75w   5   1      14914            0      3.9mb          3.9mb
green  open   snort-2018.07.09      6m3xiqp5QbW5Nre4sXXTeA   1   0       1216            0      7.7mb          7.7mb
green  open   netflow-v9-2016.07.19 35hHFYaFQYi79JOcx_bS9g   1   0       3783            0    485.5kb        485.5kb
green  open   snort-2018.06.12      pJVUKxC2RZuaQBVCExEdJQ   1   0        912            0      7.2mb          7.2mb
green  open   winlogbeat-2017.11.07 eU3nEfr8RAG8KIiidlaUWg   5   0     256503            0     90.1mb         90.1mb
green  open   bro-2017.12.18        oX6sEN3fRLGE-nlkz8vfyA   5   0     198728            0     68.6mb         68.6mb
green  open   winlogbeat-2017.11.15 ZYCBzmluTGazm6VSvVXlnA   5   0        300            0      315kb          315kb
green  open   netflow-v9-2017.04.22 B4sxdhrfSBW0Ft9gNUoTlA   1   0      22371            0      3.9mb          3.9mb
green  open   snort-2018.07.06      -Vo-BqkIQCmqz5ujSiyD_g   1   0       1249            0     17.9mb         17.9mb
green  open   winlogbeat-2017.11.09 d_g8vjhAQM2kxZNbKlv3Rg   5   0        737            0    549.2kb        549.2kb
